track_id,track_name,track_artist_id,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre
24150,I Don't Care (with Justin Bieber) - Loud Luxury Remix,2782,Ed Sheeran,66,8225,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,Pop Remix,235,pop,dance pop
3061,Memories - Dillon Francis Remix,6084,Maroon 5,67,17650,Memories (Dillon Francis Remix),2019-12-13,Pop Remix,235,pop,dance pop
7219,All the Time - Don Diablo Remix,10416,Zara Larsson,70,3798,All the Time (Don Diablo Remix),2019-07-05,Pop Remix,235,pop,dance pop
25699,Call You Mine - Keanu Silva Remix,9215,The Chainsmokers,60,5293,Call You Mine - The Remixes,2019-07-19,Pop Remix,235,pop,dance pop
5987,Someone You Loved - Future Humans Remix,5402,Lewis Capaldi,69,21936,Someone You Loved (Future Humans Remix),2019-03-05,Pop Remix,235,pop,dance pop
27088,Beautiful People (feat. Khalid) - Jack Wins Remix,2782,Ed Sheeran,67,8723,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,Pop Remix,235,pop,dance pop
8663,Never Really Over - R3HAB Remix,4897,Katy Perry,62,21175,Never Really Over (R3HAB Remix),2019-07-26,Pop Remix,235,pop,dance pop
23920,Post Malone (feat. RANI) - GATTÜSO Remix,8189,Sam Feldt,69,17794,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,Pop Remix,235,pop,dance pop
26820,Tough Love - Tiësto Remix / Radio Edit,743,Avicii,68,20929,Tough Love (Tiësto Remix),2019-06-14,Pop Remix,235,pop,dance pop
4724,If I Can't Have You - Gryffin Remix,8410,Shawn Mendes,67,12930,If I Can't Have You (Gryffin Remix),2019-06-20,Pop Remix,235,pop,dance pop
13291,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,2782,Ed Sheeran,58,12145,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,Pop Remix,235,pop,dance pop
13534,Hate Me - R3HAB Remix,2893,Ellie Goulding,67,19316,Hate Me (R3HAB Remix),2019-08-16,Pop Remix,235,pop,dance pop
24092,Body On My,5633,Loud Luxury,67,7132,Body On My,2019-03-29,Pop Remix,235,pop,dance pop
13294,SOS - Laidback Luke Tribute Remix / Radio Edit,743,Avicii,68,20838,SOS (Laidback Luke Tribute Remix),2019-05-17,Pop Remix,235,pop,dance pop
18472,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,6098,Martin Garrix,63,8618,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,Pop Remix,235,pop,dance pop
4470,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,2782,Ed Sheeran,66,5071,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,Pop Remix,235,pop,dance pop
